Value,UW(Recall),UW (Precision),PIP(Recall),PIP (Precision)
1,0.61818181818,0.13545660665,0.75454545455,0.15851666168
2,0.65909090909,0.28674487966,0.73181818182,0.2806158877
3,0.65757575758,0.37999163528,0.72727272727,0.41448077165
4,0.66287878788,0.46805676242,0.68560606061,0.49209360759
5,0.64560606061,0.52661368067,0.66515151515,0.54944928708
6,0.6353030303,0.56835584314,0.65515151515,0.602281032
7,0.63248917749,0.61128157364,0.65082251082,0.64578083466
8,0.625995671,0.64808101173,0.63702380952,0.67583374678
9,0.62132395382,0.67688436061,0.63058441558,0.70237496254
10,0.61768759019,0.70050060675,0.62290764791,0.72604527431
