Value,UW(Recall),UW (Precision),CJMSD(Recall),CJMSD (Precision),Correlation(Recall),Correlation (Precision),Cosine(Recall),Cosine (Precision),Jaccard(Recall),Jaccard (Precision),MSD(Recall),MSD (Precision),PIP(Recall),PIP (Precision)
1,0.61818181818,0.13545660665,0.77272727273,0.15175246106,0.64814814815,0.10754458897,0.57009345794,0.10863470389,0.68181818182,0.14050955046,0.66363636364,0.13277111517,0.75454545455,0.15851666168
2,0.65909090909,0.28674487966,0.73181818182,0.28840786582,0.66203703704,0.23539292775,0.6214953271,0.22640682912,0.70909090909,0.28313038366,0.65454545455,0.25173286264,0.73181818182,0.2806158877
3,0.65757575758,0.37999163528,0.71212121212,0.40720561932,0.66049382716,0.31353849699,0.61526479751,0.29588947627,0.69242424242,0.38381875929,0.64242424242,0.3400152904,0.72727272727,0.41448077165
4,0.66287878788,0.46805676242,0.68560606061,0.48908205692,0.6450617284,0.37207709735,0.60981308411,0.3524683747,0.66818181818,0.46273998537,0.64621212121,0.42038543083,0.68560606061,0.49209360759
5,0.64560606061,0.52661368067,0.67696969697,0.55469177273,0.62885802469,0.40254497874,0.60747663551,0.37942290668,0.67181818182,0.51920196627,0.64484848485,0.46890167265,0.66515151515,0.54944928708
6,0.6353030303,0.56835584314,0.66484848485,0.60841857323,0.62391975309,0.42884266683,0.60841121495,0.40491091188,0.6703030303,0.56582957665,0.63606060606,0.50168469066,0.65515151515,0.602281032
7,0.63248917749,0.61128157364,0.64818181818,0.64444470045,0.62149470899,0.45714614182,0.61174899866,0.42747377926,0.66380952381,0.60996139056,0.63541125541,0.53304270244,0.65082251082,0.64578083466
8,0.625995671,0.64808101173,0.63925324675,0.68433728582,0.62447089947,0.4733892922,0.60774365821,0.4394402055,0.65439393939,0.63774635837,0.63281385281,0.55635019707,0.63702380952,0.67583374678
9,0.62132395382,0.67688436061,0.63054112554,0.70663535397,0.62254188713,0.48729059008,0.60475819611,0.44882612224,0.64883838384,0.66047335003,0.62725829726,0.56692027113,0.63058441558,0.70237496254
10,0.61768759019,0.70050060675,0.62377344877,0.73051609749,0.61770649618,0.49513331728,0.60288903723,0.45593447288,0.6447979798,0.68300368458,0.62645021645,0.57934783739,0.62290764791,0.72604527431
